timestamp,voltage,current
1667948388.9240887,4.2,0.0
1667948389.0675025,4.2,0.5
1667948389.188138,4.2,0.5
1667948389.3101983,4.2,0.5
1667948389.4328122,4.2,0.5
1667948389.5537884,4.21,0.5
1667948389.6722276,4.2,0.5
1667948389.830383,4.2,0.5
1667948389.9546044,4.21,0.5
1667948390.0936024,4.2,0.5
1667948390.2154348,4.2,0.5
1667948390.3370502,4.2,0.5
1667948390.456254,4.21,0.5
1667948390.5807319,4.2,0.5
1667948390.7036595,4.2,0.499
1667948390.8735166,4.21,0.5
1667948390.9950545,4.21,0.5
1667948391.1162496,4.2,0.5
1667948391.2382305,4.2,0.499
1667948391.35705,4.21,0.5
1667948391.4806633,4.2,0.5
1667948391.6023962,4.2,0.5
1667948391.7246099,4.2,0.5
1667948391.8466065,4.2,0.5
1667948391.9915874,4.2,0.5
1667948392.117808,4.21,0.5
1667948392.257807,4.2,0.5
1667948392.3797903,4.2,0.5
1667948392.5014899,4.2,0.5
1667948392.6234884,4.2,0.5
1667948392.7444172,4.21,0.5
1667948392.8673105,4.2,0.5
1667948392.9895751,4.2,0.5
1667948393.1349602,4.21,0.5
1667948393.256387,4.21,0.5
1667948393.391773,4.2,0.5
1667948393.5220993,4.21,0.5
1667948393.6428733,4.2,0.5
1667948393.7640822,4.2,0.5
1667948393.8855226,4.2,0.5
1667948394.0067246,4.21,0.5
1667948394.1278982,4.21,0.5
1667948394.2506924,4.21,0.5
1667948394.3723865,4.2,0.5
1667948394.4944186,4.2,0.5
1667948394.6268811,4.2,0.5
1667948394.7854948,4.2,0.5
1667948394.906062,4.2,0.5
1667948395.0259638,4.21,0.5
1667948395.15025,4.2,0.5
1667948395.2711062,4.2,0.5
1667948395.3939898,4.2,0.5
1667948395.5162785,4.21,0.5
1667948395.6604733,4.2,0.5
1667948395.782819,4.2,0.5
1667948395.9266443,4.2,0.5
1667948396.0509346,4.2,0.5
1667948396.1717358,4.2,0.5
1667948396.292565,4.2,0.5
1667948396.4147213,4.2,0.5
1667948396.5376785,4.21,0.5
1667948396.677913,4.21,0.5
1667948396.8049605,4.2,0.5
1667948396.9439187,4.2,0.499
1667948397.0725424,4.21,0.5
1667948397.1933928,4.2,0.5
1667948397.3151104,4.2,0.5
1667948397.435651,4.2,0.5
1667948397.5565593,4.2,0.5
1667948397.678574,4.2,0.5
1667948397.8004632,4.2,0.5
1667948397.922684,4.2,0.5
1667948398.0914702,4.21,0.5
1667948398.2116725,4.2,0.5
1667948398.3354392,4.2,0.5
1667948398.4559593,4.2,0.5
1667948398.5770874,4.2,0.5
1667948398.6982918,4.2,0.5
1667948398.8124008,4.21,0.5
1667948399.0011866,4.2,0.5
1667948399.12288,3.98,14.999
1667948399.2449234,3.98,15.0
1667948399.3663142,3.98,15.0
1667948399.5398629,3.98,15.0
1667948399.6607282,3.98,15.0
1667948399.781353,3.98,15.0
1667948399.9022322,3.98,15.0
1667948400.0236251,3.99,15.0
1667948400.1453786,3.98,15.0
1667948400.2675128,3.98,15.0
1667948400.413417,3.98,15.0
1667948400.5631053,3.98,15.0
1667948400.6845987,3.98,14.999
1667948400.8076394,3.98,15.0
1667948400.9296708,3.98,15.0
1667948401.1360054,4.25,15.0
1667948401.280841,4.2,0.5
1667948401.4020898,4.2,0.5
1667948401.5241122,4.21,0.5
1667948401.6450815,4.2,0.5
1667948401.7665434,4.21,0.5
1667948401.888154,4.2,0.5
1667948402.0108914,4.21,0.5
1667948402.134177,4.2,0.5
1667948402.2788653,4.21,0.499
1667948402.426381,4.2,0.5
1667948402.548037,4.21,0.5
1667948402.6690614,4.2,0.5
1667948402.7901928,4.2,0.5
1667948402.9133573,4.2,0.5
1667948403.0354176,4.21,0.5
1667948403.179704,4.2,0.5
1667948403.302102,4.2,0.5
1667948403.4477873,4.2,0.5
1667948403.569046,4.21,0.5
1667948403.6904755,4.2,0.5
1667948403.8119555,4.21,0.5
1667948403.9320369,4.21,0.5
1667948404.049067,4.21,0.5
1667948404.1748114,4.21,0.5
1667948404.2977338,4.2,0.5
1667948404.4158275,4.2,0.5
1667948404.5895164,4.2,0.5
1667948404.7115104,4.2,0.5
1667948404.8320398,4.2,0.5
1667948404.9531057,4.21,0.5
1667948405.0746238,4.2,0.5
1667948405.1957994,4.21,0.5
1667948405.3170853,4.2,0.5
1667948405.4390886,4.2,0.5
1667948405.5613637,4.21,0.5
1667948405.7008364,4.21,0.5
1667948405.8285475,4.2,0.5
1667948405.9682379,4.2,0.5
1667948406.0961094,4.21,0.5
1667948406.2169635,4.2,0.5
1667948406.338285,4.2,0.5
1667948406.4593632,4.21,0.5
1667948406.5804942,4.2,0.5
1667948406.7027853,4.2,0.5
1667948406.8249586,4.21,0.5
1667948406.946436,4.21,0.5
1667948407.1164346,4.2,0.5
1667948407.2343245,4.2,0.5
1667948407.35859,4.2,0.5
1667948407.4795077,4.21,0.5
1667948407.600366,4.21,0.5
1667948407.7223136,4.2,0.5
1667948407.8436522,4.2,0.5
1667948407.9661689,4.2,0.5
1667948408.085263,4.21,0.5
1667948408.2332213,4.2,0.5
1667948408.3551967,4.2,0.5
1667948408.5008733,4.2,0.5
1667948408.6218624,4.2,0.5
1667948408.743249,4.2,0.499
1667948408.8638957,4.2,0.5
