timestamp,voltage,current
1670474032.839329,4.04,0.022
1670474032.9619398,4.04,0.0136
1670474033.0972316,4.04,0.5
1670474033.1964693,4.04,0.5
1670474033.2995224,4.04,0.5
1670474033.4171097,4.05,0.5
1670474033.5170305,4.05,0.5
1670474033.6353471,4.04,0.5
1670474033.779189,4.05,0.5
1670474033.879903,4.04,0.5
1670474033.9942565,4.04,0.5
1670474034.1438015,4.04,0.5
1670474034.2312427,4.04,0.5
1670474034.3285089,4.04,0.5
1670474034.430146,4.04,0.5
1670474034.546731,4.04,0.5
1670474034.6472988,4.04,0.5
1670474034.7668228,4.04,0.5
1670474034.9005554,4.04,0.5
1670474035.0035248,4.04,0.5
1670474035.1100667,4.04,0.5
1670474035.2233229,4.04,0.5
1670474035.3180268,4.05,0.5
1670474035.4343154,4.04,0.5
1670474035.5271897,4.05,0.5
1670474035.631844,4.04,0.5
1670474035.731261,4.04,0.5
1670474035.8462186,4.04,0.5
1670474035.9861531,4.04,0.5
1670474036.0890713,4.04,0.5
1670474036.416905,4.05,0.5
1670474036.5190656,4.04,0.5
1670474036.6189878,4.04,0.5
1670474036.7166114,4.04,0.5
1670474036.8166447,4.04,0.5
1670474036.931693,4.04,0.5
1670474037.069719,4.04,0.5
1670474037.1666467,4.04,0.5
1670474037.2613132,4.04,0.5
1670474037.3864405,4.04,0.5
1670474037.4865763,4.04,0.5
1670474037.6004298,4.04,0.5
1670474037.698493,4.04,0.5
1670474037.8003497,4.04,0.5
1670474037.8962836,4.04,0.5
1670474038.0180347,4.04,0.5
1670474038.1809905,4.04,0.5
1670474038.283942,4.04,0.5
1670474038.3856215,4.03,0.5
1670474038.5241323,4.04,0.5
1670474038.627507,4.04,0.5
1670474038.7574103,4.04,0.5
1670474038.8782132,4.04,0.5
1670474038.9804964,4.04,0.5
1670474039.0989723,4.04,0.5
1670474039.2497616,4.04,0.5
1670474039.5544403,4.04,0.5
1670474039.7030926,4.04,0.5
1670474039.819308,4.04,0.5
1670474039.966304,4.04,0.5
1670474040.067461,4.04,0.5
1670474040.1803267,4.04,0.5
1670474040.3296902,4.04,0.5
1670474040.437595,4.04,0.5
1670474040.5365715,4.04,0.5
1670474040.6588063,4.04,0.5
1670474040.7522476,4.04,0.5
1670474040.8525167,4.04,0.5
